, C0,Dr No,Date Reported,Date Occurred,Time Occurred,Area Code,Area Name,Rpt Dist No,Part 1-2,Crime Code,Crime Description,Modus Operandi,Victim Age,Victim Gender,Victim Descent,Crime Location,Case Status,Street Address,Latitude,Longitude,Weapon Description,Cross Street,Age Group,Delay,Delay Category,Week Period,Month Period,Time Slot
623,3953,201204724,2020-01-09,2020-01-09,1970-01-01 17:00:00,12,77th Street,1239,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,1822 1309 0344,46,Male,Hispanic/Latin/Mexican,Driveway,Invest Cont,6100 Menlo Av,33.9846,-118.2892,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,16-18
624,3959,201804447,2020-01-09,2020-01-09,1970-01-01 11:25:00,18,Southeast,1834,2,624,Battery - Simple Assault,0913 0416,27,Female,Black,Yard (residential/business),Invest Cont,1100 E 104th St,33.9419,-118.2565,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,10-12
625,4532,200104741,2020-01-11,2020-01-10,1970-01-01 10:00:00,1,Central,174,1,330,Burglary From Vehicle,1307 0344 1609 1822,0,Male,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,700 S Main St,34.0439,-118.2514,Data Missing,Data Missing,Unknown,1,2 days,2020-01-06,2020-01-01,10-12
626,4765,200604485,2020-01-11,2020-01-11,1970-01-01 03:40:00,6,Hollywood,637,2,626,Intimate Partner - Simple Assault,2000 1813 1814 0400 0416 0448 0419 1310 1309,20,Female,Hispanic/Latin/Mexican,Street,Invest Cont,Gower,34.1043,-118.3224,Strong-arm,HOLLYWOOD,Adult,0,1 day,2020-01-06,2020-01-01,4-6
627,4886,201704486,2020-01-11,2020-01-11,1970-01-01 22:05:00,17,Devonshire,1764,1,442,Shoplifting - Petty Theft,0325 0378 0352,0,Unknown,Unknown,Department Store,Invest Cont,9200 Shirley Av,34.2375,-118.558,Data Missing,Data Missing,Unknown,0,1 day,2020-01-06,2020-01-01,22-24
628,4896,202104481,2020-01-11,2020-01-11,1970-01-01 03:00:00,21,Topanga,2115,1,821,Sodomy/sexual Contact B/w Penis Of One Pers To Anus Oth,0913 0519,18,Female,Hispanic/Latin/Mexican,Parking Lot,Adult Other,21900 Lanark St,34.2176,-118.6045,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,2-4
629,5154,200704563,2020-01-12,2020-01-12,1970-01-01 13:40:00,7,Wilshire,765,2,956,Letters- Lewd  -  Telephone Calls- Lewd,0432,19,Male,Black,Other Business,Invest Cont,4500 W Pico Bl,34.0485,-118.3335,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,14-16
630,5751,202104538,2020-01-13,2020-01-10,1970-01-01 17:00:00,21,Topanga,2156,1,440,Theft Plain - Petty,0344,43,Female,Other,Shopping Mall (common Area),Invest Cont,6600 Topanga Canyon Bl,34.1905,-118.6059,Data Missing,Data Missing,Adult,3,3-7 days,2020-01-06,2020-01-01,16-18
631,6154,201104565,2020-01-14,2020-01-14,1970-01-01 10:25:00,11,Northeast,1125,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,4900 Stratford Rd,34.1236,-118.2085,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,10-12
632,6361,201504699,2020-01-14,2020-01-14,1970-01-01 19:45:00,15,N Hollywood,1555,2,740,Vandalism - Felony,0329,0,Male,White,Restaurant/fast Food,Invest Cont,11300 Magnolia Bl,34.1649,-118.3774,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,20-22
633,6511,200105035,2020-01-15,2020-01-02,1970-01-01 19:15:00,1,Central,139,1,440,Theft Plain - Petty,0344 1202 1822 0394 1414,60,Female,Other,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,900 E 3rd St,34.0459,-118.2351,Data Missing,Data Missing,Adult,13,8-30 days,2019-12-30,2020-01-01,18-20
634,6523,200204717,2020-01-15,2020-01-15,1970-01-01 09:05:00,2,Rampart,246,2,740,Vandalism - Felony,0329 0311 1402 2001 0906 2004,19,Unknown,Unknown,Park/playground,Adult Arrest,Alvarado,34.0596,-118.2749,Data Missing,6TH                          ST,Adult,0,1 day,2020-01-13,2020-01-01,8-10
635,6650,200804644,2020-01-15,2020-01-15,1970-01-01 14:45:00,8,West LA,817,1,236,Intimate Partner - Aggravated Assault,1814 0913 0410 2000 0400,31,Female,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Arrest,900 Hilgard Av,34.0617,-118.4446,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,14-16
636,6780,200704719,2020-01-15,2020-01-15,1970-01-01 21:00:00,7,Wilshire,776,2,626,Intimate Partner - Simple Assault,0417 2000 1218 2004 0446,42,Female,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,4600 Lomita St,34.0459,-118.3374,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,20-22
637,7262,200704755,2020-01-16,2020-01-16,1970-01-01 21:50:00,7,Wilshire,743,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0344 1402,0,Male,Other,Parking Underground/building,Adult Arrest,5600 Wilshire Bl,34.0626,-118.3569,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,22-24
638,7526,201504774,2020-01-16,2020-01-15,1970-01-01 12:00:00,15,N Hollywood,1538,1,330,Burglary From Vehicle,1300 0344 1609 1307,50,Female,Other,Parking Lot,Invest Cont,Burbank,34.1722,-118.3703,Data Missing,VINELAND,Adult,1,2 days,2020-01-13,2020-01-01,12-14
639,7559,201504780,2020-01-16,2020-01-15,1970-01-01 21:40:00,15,N Hollywood,1585,1,343,Shoplifting-grand Theft,0325,28,Male,Black,Drug Store,Invest Cont,10900 Ventura Bl,34.143,-118.3727,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,22-24
640,7627,200204868,2020-01-17,2020-01-16,1970-01-01 17:45:00,2,Rampart,271,1,330,Burglary From Vehicle,0344 0329 1609 1307 1601,31,Male,Hispanic/Latin/Mexican,Street,Invest Cont,James M Wood Bl,34.0539,-118.2799,Data Missing,LAKE                         ST,Adult,1,2 days,2020-01-13,2020-01-01,18-20
641,8094,202006611,2020-01-17,2020-01-16,1970-01-01 20:00:00,20,Olympic,2088,2,756,Weapons Possession/bombing,1501,0,Unknown,Unknown,Street,Invest Cont,W Washington Bl,34.0399,-118.2841,Bomb Threat,HOOVER                       ST,Unknown,1,2 days,2020-01-13,2020-01-01,20-22
642,8251,200504765,2020-01-18,2020-01-18,1970-01-01 11:20:00,5,Harbor,515,1,761,Brandish Weapon,0432 0334 0443 1402 0602 0913,31,Male,Hispanic/Latin/Mexican,Single Family Dwelling,Adult Arrest,1500 Mcdonald Av,33.7929,-118.272,Kitchen Knife,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,10-12
643,8840,200305070,2020-01-19,2020-01-19,1970-01-01 14:00:00,3,Southwest,362,2,627,Child Abuse  - Simple Assault,1258 0401,11,Female,Black,Single Family Dwelling,Adult Arrest,4000 Gelber Pl,34.0133,-118.3486,Strong-arm,Data Missing,Child,0,1 day,2020-01-13,2020-01-01,14-16
644,8900,200504823,2020-01-19,2020-01-19,1970-01-01 18:20:00,5,Harbor,517,2,627,Child Abuse  - Simple Assault,0602 0305 0408 0554 0913 1251 1259,15,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Arrest,1100 Broad Av,33.7849,-118.2612,Strong-arm,Data Missing,Teenager,0,1 day,2020-01-13,2020-01-01,18-20
645,8942,201904794,2020-01-19,2020-01-18,1970-01-01 17:00:00,19,Mission,1984,1,330,Burglary From Vehicle,1307 0344,40,Male,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,14800 Chase St,34.2247,-118.4553,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,16-18
646,8983,202104853,2020-01-19,2020-01-19,1970-01-01 14:00:00,21,Topanga,2189,2,624,Battery - Simple Assault,0416 0356,22,Female,Black,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,20500 Ventura Bl,34.1683,-118.5787,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,14-16
647,9008,201205299,2020-01-19,2020-01-19,1970-01-01 22:50:00,12,77th Street,1256,1,210,Robbery,0342 1822 0334 0416 0417 0344,21,Male,Hispanic/Latin/Mexican,Sidewalk,Invest Cont,Florence Av,33.9746,-118.2914,Air Pistol/revolver/rifle/bb Gun,VERMONT                      AV,Adult,0,1 day,2020-01-13,2020-01-01,22-24
648,9073,201305046,2020-01-19,2020-01-19,1970-01-01 11:15:00,13,Newton,1313,1,210,Robbery,1822 1300 1309 0334 0344,44,Male,Hispanic/Latin/Mexican,Sidewalk,Invest Cont,San Pedro,34.0312,-118.2554,Hand Gun,15TH                         ST,Adult,0,1 day,2020-01-13,2020-01-01,10-12
649,9440,202104903,2020-01-20,2020-01-19,1970-01-01 18:00:00,21,Topanga,2185,1,440,Theft Plain - Petty,0344,54,Female,Black,Single Family Dwelling,Invest Cont,22200 Del Valle St,34.1668,-118.6104,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,18-20
650,9689,201704818,2020-01-20,2020-01-20,1970-01-01 10:00:00,17,Devonshire,1701,2,745,Vandalism - Misdeameanor,0329 0913 0554,26,Male,Other Asian,Single Family Dwelling,Invest Cont,20700 Campania Ln,34.2802,-118.5844,Data Missing,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,10-12
651,9872,201104864,2020-01-21,2020-01-20,1970-01-01 20:00:00,11,Northeast,1126,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Parking Lot,Invest Cont,5200 York Bl,34.1207,-118.2026,Data Missing,Data Missing,Unknown,1,2 days,2020-01-20,2020-01-01,20-22
652,9924,201004838,2020-01-21,2020-01-08,1970-01-01 12:43:00,10,West Valley,1065,1,440,Theft Plain - Petty,0394 1202 1420,72,Male,Other,"Porch, Residential",Invest Cont,5200 Lindley Av,34.1682,-118.5273,Data Missing,Data Missing,Old,13,8-30 days,2020-01-06,2020-01-01,12-14
653,57,200404020,2020-01-01,2020-01-01,1970-01-01 14:00:00,4,Hollenbeck,455,1,440,Theft Plain - Petty,0344 1402,0,Male,Unknown,Cell Phone Store,Invest Cont,2100 E Cesar E Chavez Av,34.0512,-118.2093,Data Missing,Data Missing,Unknown,0,1 day,2019-12-30,2020-01-01,14-16
654,60,200404025,2020-01-01,2020-01-01,1970-01-01 01:30:00,4,Hollenbeck,455,2,626,Intimate Partner - Simple Assault,1813 1243 0417 2002 2000,44,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,2300 Barlow St,34.0531,-118.2054,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,0-2
655,76,200504050,2020-01-01,2020-01-01,1970-01-01 17:30:00,5,Harbor,515,2,745,Vandalism - Misdeameanor,1307 1243 1814 0329 2000 0913,25,Female,Hispanic/Latin/Mexican,"Vehicle, Passenger/truck",Adult Other,1600 N Avalon Bl,33.7948,-118.2694,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,16-18
656,384,200104430,2020-01-02,2020-01-02,1970-01-01 09:55:00,1,Central,162,1,480,Bike - Stolen,1822 1608 0344,50,Male,White,Sidewalk,Invest Cont,7th St,34.0494,-118.2599,Data Missing,FIGUEROA,Adult,0,1 day,2019-12-30,2020-01-01,10-12
657,670,201304108,2020-01-02,2020-01-02,1970-01-01 21:45:00,13,Newton,1385,1,350,Theft- Person,0344,19,Female,Hispanic/Latin/Mexican,Restaurant/fast Food,Invest Cont,5800 S Central Av,33.9857,-118.2628,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,22-24
658,771,200204106,2020-01-03,2020-01-03,1970-01-01 08:10:00,2,Rampart,265,1,350,Theft- Person,0344 0390 0216,50,Female,Hispanic/Latin/Mexican,Restaurant/fast Food,Invest Cont,2100 W 7th St,34.0565,-118.2768,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,8-10
659,1038,202004150,2020-01-03,2020-01-02,1970-01-01 21:24:00,20,Olympic,2026,2,930,Criminal Threats - No Weapon Displayed,0421 0337 1912,23,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,300 S New Hampshire Av,34.0691,-118.2929,Verbal Threat,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,20-22
660,1072,201400505,2020-01-03,2020-01-03,1970-01-01 07:40:00,14,Pacific,1494,1,761,Brandish Weapon,1822 2004 0334 1402,42,Male,Black,Transportation Facility (airport),Invest Cont,500 World Wy,33.9428,-118.4054,Other Knife,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,8-10
661,1169,200104276,2020-01-04,2020-01-02,1970-01-01 21:30:00,1,Central,119,1,440,Theft Plain - Petty,0910 0344,18,Male,Hispanic/Latin/Mexican,La Union Station (not Line Specific),Invest Cont,800 N Alameda St,34.0563,-118.2374,Data Missing,Data Missing,Adult,2,3-7 days,2019-12-30,2020-01-01,20-22
662,1407,201304201,2020-01-04,2020-01-04,1970-01-01 17:15:00,13,Newton,1324,2,626,Intimate Partner - Simple Assault,0446 1821 1243 2000,38,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,1300 E 21st St,34.0224,-118.2524,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,16-18
663,1651,200404168,2020-01-05,2020-01-04,1970-01-01 20:00:00,4,Hollenbeck,497,1,310,Burglary,0344 0329 1601,0,Male,White,Other Business,Invest Cont,3300 E Olympic Bl,34.0191,-118.2081,Data Missing,Data Missing,Unknown,1,2 days,2019-12-30,2020-01-01,20-22
664,1793,200804181,2020-01-05,2020-01-05,1970-01-01 20:05:00,8,West LA,858,1,310,Burglary,1414 1202 0344 1607,68,Male,Other,Single Family Dwelling,Adult Arrest,Cashio,34.0523,-118.3846,Data Missing,ROBERTSON,Old,0,1 day,2019-12-30,2020-01-01,20-22
665,1922,201204288,2020-01-05,2020-01-05,1970-01-01 18:30:00,12,77th Street,1251,2,946,Other Miscellaneous Crime,1402,0,Unknown,Unknown,Street,Invest Cont,Crenshaw Bl,33.9757,-118.3309,Data Missing,71ST                         ST,Unknown,0,1 day,2019-12-30,2020-01-01,18-20
666,2186,200704254,2020-01-06,2020-01-06,1970-01-01 14:30:00,7,Wilshire,734,1,230,Assault With Deadly Weapon- Aggravated Assault,1822 0416,36,Male,White,Single Family Dwelling,Adult Other,6100 Colgate Av,34.0681,-118.356,Pipe/metal Pipe,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,14-16
667,2215,201104237,2020-01-06,2020-01-06,1970-01-01 09:00:00,11,Northeast,1132,2,745,Vandalism - Misdeameanor,0603 2021 0329,55,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Adult Other,3600 Lowry Rd,34.1167,-118.2774,Other Cutting Instrument,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,8-10
668,2384,202004235,2020-01-06,2020-01-03,1970-01-01 17:30:00,20,Olympic,2064,1,420,Theft From Motor Vehicle - Petty,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,1100 S Normandie Av,34.049,-118.3021,Data Missing,Data Missing,Unknown,3,3-7 days,2019-12-30,2020-01-01,16-18
669,2604,200404274,2020-01-07,2020-01-06,1970-01-01 13:30:00,4,Hollenbeck,443,2,930,Criminal Threats - No Weapon Displayed,0421 0913 1803,44,Male,Other,Hospital,Adult Arrest,1500 San Pablo St,34.0624,-118.2032,Verbal Threat,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,12-14
670,2943,201204491,2020-01-07,2020-01-06,1970-01-01 12:00:00,12,77th Street,1259,2,649,Document Forgery / Stolen Felony,Data Missing,34,Male,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,600 E 77th St,33.9693,-118.2652,Data Missing,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,12-14
671,3273,201504344,2020-01-08,2020-01-07,1970-01-01 18:49:00,15,N Hollywood,1587,2,624,Battery - Simple Assault,0400 1309 1822 0216,34,Male,White,Street,Adult Other,Lankershim,34.1361,-118.357,Bottle,BURBANK,Adult,1,2 days,2020-01-06,2020-01-01,18-20
672,3512,200104609,2020-01-09,2020-01-07,1970-01-01 15:55:00,1,Central,119,1,220,Attempted Robbery,0910 1822 0305 1414,58,Female,White,Mta - Red Line - Union Station,Invest Cont,800 N Alameda St,34.0563,-118.2374,Strong-arm,Data Missing,Adult,2,3-7 days,2020-01-06,2020-01-01,16-18
673,3567,200404300,2020-01-09,2020-01-08,1970-01-01 20:00:00,4,Hollenbeck,427,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,Huntington Dr,34.085,-118.187,Data Missing,MONTEREY,Unknown,1,2 days,2020-01-06,2020-01-01,20-22
674,3986,201204710,2020-01-09,2020-01-09,1970-01-01 22:00:00,12,77th Street,1245,2,745,Vandalism - Misdeameanor,0329,55,Male,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,6200 S Normandie Av,33.9833,-118.3002,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,22-24
675,4147,200704481,2020-01-10,2020-01-10,1970-01-01 06:00:00,7,Wilshire,784,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0344,54,Male,Hispanic/Latin/Mexican,Motel,Invest Cont,5000 W Washington Bl,34.0406,-118.3486,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,6-8
676,4202,201000508,2020-01-10,2020-01-10,1970-01-01 01:30:00,10,West Valley,1063,1,210,Robbery,1402 0325 0444 0945,0,Male,White,Pharmacy Inside Store Or Supermarket,Invest Cont,18400 Ventura Bl,34.1678,-118.5336,Strong-arm,Data Missing,Unknown,0,1 day,2020-01-06,2020-01-01,0-2
677,4267,201004371,2020-01-10,2020-01-01,1970-01-01 16:00:00,10,West Valley,1024,1,420,Theft From Motor Vehicle - Petty,0344 1300 1606,29,Male,White,Parking Lot,Invest Cont,Reseda Bl,34.1977,-118.5361,Data Missing,HART                         ST,Adult,9,8-30 days,2019-12-30,2020-01-01,16-18
678,4320,202104483,2020-01-10,2020-01-10,1970-01-01 05:00:00,21,Topanga,2134,2,901,Violation Of Restraining Order,2038 2000,41,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,22000 Leadwell St,34.2038,-118.606,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,4-6
679,4498,201304554,2020-01-10,2020-01-06,1970-01-01 06:00:00,13,Newton,1352,1,420,Theft From Motor Vehicle - Petty,0344 1300,71,Male,Hispanic/Latin/Mexican,Street,Invest Cont,200 E 43rd St,34.0057,-118.2715,Data Missing,Data Missing,Old,4,3-7 days,2020-01-06,2020-01-01,6-8
680,4611,200404380,2020-01-11,2020-01-09,1970-01-01 16:00:00,4,Hollenbeck,489,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,Rosalind Pl,34.0227,-118.2113,Data Missing,DACOTAH,Unknown,2,3-7 days,2020-01-06,2020-01-01,16-18
681,5544,200504567,2020-01-13,2020-01-12,1970-01-01 23:45:00,5,Harbor,522,1,251,Shots Fired At Inhabited Dwelling,1822 1100 0329,47,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,700 W Anaheim St,33.7796,-118.2702,Unknown Firearm,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,22-24
682,5889,201804638,2020-01-13,2020-01-13,1970-01-01 09:35:00,18,Southeast,1824,2,888,Trespassing,2004 1275 1822,0,Female,Hispanic/Latin/Mexican,Other Premise,Adult Arrest,9200 S Central Av,33.9532,-118.2564,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,8-10
683,6235,200704662,2020-01-14,2020-01-07,1970-01-01 11:00:00,7,Wilshire,742,2,812,Crm Agnst Chld,1257 0522,3,Male,White,Hospital,Adult Arrest,900 Carrillo Dr,34.0604,-118.3673,Strong-arm,Data Missing,Child,7,8-30 days,2020-01-06,2020-01-01,10-12
684,6251,200704685,2020-01-14,2020-01-14,1970-01-01 23:00:00,7,Wilshire,723,2,626,Intimate Partner - Simple Assault,2000 0444 1300,34,Female,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,3rd,34.0719,-118.3614,Strong-arm,FAIRFAX,Adult,0,1 day,2020-01-13,2020-01-01,22-24
685,6267,200604664,2020-01-14,2020-01-13,1970-01-01 06:35:00,6,Hollywood,615,1,330,Burglary From Vehicle,1307 1609 0358 0344 0377,47,Female,White,Street,Invest Cont,Lake Hollywood Dr,34.1323,-118.3394,Data Missing,WONDER VIEW                  DR,Adult,1,2 days,2020-01-13,2020-01-01,6-8
686,6393,202104614,2020-01-14,2020-01-13,1970-01-01 18:00:00,21,Topanga,2114,1,330,Burglary From Vehicle,0344 1601 0321,23,Female,White,Parking Lot,Invest Cont,7900 Topanga Canyon Bl,34.2139,-118.6103,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,18-20
687,6808,201204994,2020-01-15,2020-01-15,1970-01-01 10:00:00,12,77th Street,1269,1,230,Assault With Deadly Weapon- Aggravated Assault,1817 0913 0416 0445,26,Male,Black,Single Family Dwelling,Invest Cont,600 E 82nd St,33.9647,-118.2651,Tire Iron,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,10-12
688,6882,201604669,2020-01-15,2020-01-15,1970-01-01 14:40:00,16,Foothill,1617,2,624,Battery - Simple Assault,1402 0913 0416,38,Male,White,Single Family Dwelling,Adult Other,10800 Sherman Grove Av,34.2652,-118.3201,Unknown Weapon/other Weapon,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,14-16
689,7304,200904702,2020-01-16,2020-01-15,1970-01-01 11:00:00,9,Van Nuys,911,2,662,Bunco- Grand Theft,0800 1202,82,Male,White,Single Family Dwelling,Invest Cont,6400 Orion Av,34.1867,-118.4705,Data Missing,Data Missing,Old,1,2 days,2020-01-13,2020-01-01,10-12
690,7913,201205226,2020-01-17,2020-01-16,1970-01-01 18:40:00,12,77th Street,1258,2,740,Vandalism - Felony,1300 0329,25,Female,Black,"Vehicle, Passenger/truck",Invest Cont,73rd St,33.9739,-118.2695,Data Missing,SAN PEDRO                    ST,Adult,1,2 days,2020-01-13,2020-01-01,18-20
691,7948,201704708,2020-01-17,2020-01-15,1970-01-01 17:00:00,17,Devonshire,1727,1,420,Theft From Motor Vehicle - Petty,0344 1609,41,Female,White,Driveway,Invest Cont,19200 Harnett St,34.2613,-118.5523,Data Missing,Data Missing,Adult,2,3-7 days,2020-01-13,2020-01-01,16-18
692,7992,202004741,2020-01-17,2020-01-17,1970-01-01 17:25:00,20,Olympic,2026,2,901,Violation Of Restraining Order,2038,22,Female,Hispanic/Latin/Mexican,Restaurant/fast Food,Adult Other,300 S Vermont Av,34.0672,-118.2941,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,16-18
693,8038,201205168,2020-01-17,2020-01-17,1970-01-01 16:50:00,12,77th Street,1239,1,440,Theft Plain - Petty,1309 0344 1822 0342,0,Unknown,Unknown,Other Business,Invest Cont,5800 S Vermont Av,33.9863,-118.2881,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,16-18
694,8148,201504800,2020-01-17,2020-01-17,1970-01-01 01:00:00,15,N Hollywood,1549,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Parking Lot,Invest Cont,5500 Bonner Av,34.17,-118.3741,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,0-2
695,8163,200105200,2020-01-18,2020-01-17,1970-01-01 23:00:00,1,Central,185,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,1000 S Broadway,34.0409,-118.2574,Data Missing,Data Missing,Unknown,1,2 days,2020-01-13,2020-01-01,22-24
696,8833,200704868,2020-01-19,2020-01-18,1970-01-01 20:30:00,7,Wilshire,765,2,740,Vandalism - Felony,0329 1602 1300,39,Female,Other Asian,"Vehicle, Passenger/truck",Invest Cont,1300 Hudson Av,34.0511,-118.3373,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,20-22
697,8933,202104840,2020-01-19,2020-01-19,1970-01-01 10:50:00,21,Topanga,2115,2,624,Battery - Simple Assault,0416 0913,17,Female,Hispanic/Latin/Mexican,Park/playground,Adult Other,Strathern,34.2155,-118.6016,Strong-arm,OWENSMOUTH                   AV,Teenager,0,1 day,2020-01-13,2020-01-01,10-12
698,9041,201405056,2020-01-19,2020-01-19,1970-01-01 06:30:00,14,Pacific,1435,1,320,Burglary- Attempted,1606,71,Female,White,Garage/carport,Invest Cont,12000 Venice Bl,34.0111,-118.4293,Data Missing,Data Missing,Old,0,1 day,2020-01-13,2020-01-01,6-8
699,9215,200305113,2020-01-20,2020-01-20,1970-01-01 18:00:00,3,Southwest,393,2,901,Violation Of Restraining Order,2038 2021 1814 0443 0319,44,Female,Black,Street,Invest Cont,Vernon Av,34.0036,-118.3319,Data Missing,CRENSHAW                     BL,Adult,0,1 day,2020-01-20,2020-01-01,18-20
700,9460,201904858,2020-01-20,2020-01-18,1970-01-01 11:00:00,19,Mission,1984,1,330,Burglary From Vehicle,0344 0397,52,Male,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,8300 Willis Av,34.2215,-118.4553,Data Missing,Data Missing,Adult,2,3-7 days,2020-01-13,2020-01-01,10-12
701,9627,201904859,2020-01-20,2020-01-20,1970-01-01 16:50:00,19,Mission,1966,1,330,Burglary From Vehicle,0344 1307,44,Female,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,9100 Van Nuys Bl,34.2354,-118.4502,Data Missing,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,16-18
702,9798,200504845,2020-01-21,2020-01-20,1970-01-01 19:00:00,5,Harbor,581,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,1700 W 27th St,33.7225,-118.3157,Data Missing,Data Missing,Unknown,1,2 days,2020-01-20,2020-01-01,18-20
703,9866,200604970,2020-01-21,2020-01-20,1970-01-01 10:30:00,6,Hollywood,647,1,310,Burglary,0344,33,Male,White,Single Family Dwelling,Invest Cont,5800 Harold Wy,34.0993,-118.3159,Data Missing,Data Missing,Adult,1,2 days,2020-01-20,2020-01-01,10-12
704,588,201704284,2020-01-02,2020-01-02,1970-01-01 02:25:00,17,Devonshire,1729,2,901,Violation Of Restraining Order,0554 0913 2038 0561,56,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,11200 Balboa Bl,34.2757,-118.5144,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,2-4
705,764,200104231,2020-01-03,2020-01-03,1970-01-01 22:20:00,1,Central,148,1,230,Assault With Deadly Weapon- Aggravated Assault,1218 1310 0411 1822 0319,58,Male,Hispanic/Latin/Mexican,Street,Invest Cont,5th,34.0435,-118.2427,Folding Knife,CROCKER,Adult,0,1 day,2019-12-30,2020-01-01,22-24
706,1026,201504099,2020-01-03,2020-01-02,1970-01-01 10:00:00,15,N Hollywood,1516,1,310,Burglary,1605 0344 1309,55,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,6600 Lemp Av,34.1903,-118.3845,Data Missing,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,10-12
