,dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,crm_cd_2,location,lat,lon,weapon_used_cd,weapon_desc,cross_street,crm_cd_3,crm_cd_4
1556,201404215,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,615,14,Pacific,1489,1,761,BRANDISH WEAPON,0302 1822 0342 1309 0326 1312,19,M,H,108.0,PARKING LOT,IC,Invest Cont,761.0,,5500 W  CENTURY                      BL,33.949,-118.3744,106.0,UNKNOWN FIREARM,,,
1557,201404198,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,200,14,Pacific,1452,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,IC,Invest Cont,510.0,,3100    VIA DOLCE,33.9729,-118.4595,,,,,
1558,201204217,2020-01-04T00:00:00.000,2020-01-03T00:00:00.000,2200,12,77th Street,1207,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,IC,Invest Cont,510.0,,4500    MENLO                        AV,34.0027,-118.2896,,,,,
1559,201304175,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1040,13,Newton,1333,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0334 0445 0432 0421,52,M,H,102.0,SIDEWALK,IC,Invest Cont,230.0,,39TH                         ST,34.0174,-118.2621,215.0,MACHETE,WADSWORTH                    AV,,
1560,201204223,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1100,12,77th Street,1269,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,IC,Invest Cont,510.0,,300 E  81ST                         ST,33.9656,-118.2695,,,,,
1561,201204248,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1300,12,77th Street,1265,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0319 0346 0400 0416 1814 2000,27,F,B,108.0,PARKING LOT,IC,Invest Cont,626.0,,VERMONT                      AV,33.9619,-118.2919,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",84TH                         PL,,
1562,201404266,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,2325,14,Pacific,1468,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1407 1100,0,X,X,101.0,STREET,IC,Invest Cont,753.0,,11800    BRADDOCK                     DR,33.9943,-118.4133,109.0,SEMI-AUTOMATIC PISTOL,,,
1563,201404212,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1100,14,Pacific,1425,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,IC,Invest Cont,510.0,,11300    NATIONAL                     BL,34.0263,-118.4314,,,,,
1564,201804148,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,200,18,Southeast,1806,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,JA,Juv Arrest,510.0,,600 E  92ND                         ST,33.9529,-118.2651,,,,,
1565,201604133,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1645,16,Foothill,1623,2,901,VIOLATION OF RESTRAINING ORDER,2038 0554 2004,29,F,H,501.0,SINGLE FAMILY DWELLING,AA,Adult Arrest,901.0,,13000    JOUETT                       ST,34.2648,-118.4184,,,,,
1566,201604153,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1100,16,Foothill,1675,2,664,"BUNCO, PETTY THEFT",0701 1202 0344,78,M,H,101.0,STREET,IC,Invest Cont,664.0,,10800    NETTLETON                    ST,34.2254,-118.3658,,,,,
1567,201304188,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1052,13,Newton,1333,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,47,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",AO,Adult Other,740.0,,800 E  31ST                         ST,34.0171,-118.2618,,,,,
1568,201304190,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1500,13,Newton,1352,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,28,F,B,102.0,SIDEWALK,IC,Invest Cont,624.0,,4400    TOWNE                        AV,34.0039,-118.2676,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1569,201804184,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,800,18,Southeast,1838,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,29,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,,1900 E  103RD                        ST,33.9431,-118.2391,,,,,
1570,201204261,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1613,12,77th Street,1256,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1309 2014 0202,19,M,B,101.0,STREET,IC,Invest Cont,341.0,,75TH                         ST,33.9718,-118.2783,,,BROADWAY,,
1571,201504155,2020-01-04T00:00:00.000,2020-01-03T00:00:00.000,1400,15,N Hollywood,1508,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,IC,Invest Cont,420.0,,6100    CLYBOURN                     AV,34.2066,-118.3666,,,,,
1572,201804195,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1000,18,Southeast,1829,2,900,VIOLATION OF COURT ORDER,2000 2038 0602,41,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,900.0,,2200 E  97TH                         ST,33.9483,-118.2329,515.0,PHYSICAL PRESENCE,,,
1573,201804160,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,400,18,Southeast,1823,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,IC,Invest Cont,420.0,,300 E  97TH                         ST,33.9483,-118.2695,,,,,
1574,201704164,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1140,17,Devonshire,1788,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0352 0325,0,X,X,404.0,DEPARTMENT STORE,IC,Invest Cont,442.0,998.0,8900    BALBOA                       BL,34.2322,-118.5113,,,,,
1575,201304167,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,200,13,Newton,1351,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0419,28,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626.0,,4000    BROADWAY                     PL,34.0111,-118.2774,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1576,201604098,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1,16,Foothill,1645,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,AA,Adult Arrest,510.0,,10900    GLENOAKS                     BL,34.2626,-118.4094,,,,,
1577,201704193,2020-01-04T00:00:00.000,2020-01-03T00:00:00.000,1800,17,Devonshire,1751,1,330,BURGLARY FROM VEHICLE,1606 0386 0344,26,M,W,707.0,GARAGE/CARPORT,IC,Invest Cont,330.0,,9900    TOPANGA CANYON               BL,34.25,-118.606,,,,,
1578,201704186,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,100,17,Devonshire,1729,1,310,BURGLARY,0344 0400 1822,26,M,O,707.0,GARAGE/CARPORT,IC,Invest Cont,310.0,,11200    LASAINE                      AV,34.2743,-118.5122,,,,,
1579,201604479,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1115,16,Foothill,1623,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0416,21,F,H,101.0,STREET,AO,Adult Other,230.0,,11000    DE FOE                       AV,34.2689,-118.411,307.0,VEHICLE,,,
1580,201404579,2020-01-04T00:00:00.000,2020-01-03T00:00:00.000,2100,14,Pacific,1412,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,37,M,A,707.0,GARAGE/CARPORT,IC,Invest Cont,440.0,,00    THORNTON                     AV,33.9923,-118.4775,,,,,
1581,201704208,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,2000,17,Devonshire,1764,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0378 2024 0325,0,X,X,404.0,DEPARTMENT STORE,JO,Juv Other,442.0,,9300    TAMPA                        AV,34.244,-118.5583,,,,,
1582,201204267,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,700,12,77th Street,1203,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0339 1275 1267,43,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,440.0,,1500 W  46TH                         ST,34.0019,-118.3056,,,,,
1583,201304224,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,2357,13,Newton,1364,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0,X,X,202.0,LIQUOR STORE,AA,Adult Arrest,740.0,,CENTRAL,33.9971,-118.2565,,,51ST                         ST,,
1584,201304226,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,2100,13,Newton,1371,2,624,BATTERY - SIMPLE ASSAULT,1300 1309 0416 0417,36,M,B,102.0,SIDEWALK,IC,Invest Cont,624.0,,52ND                         ST,33.9956,-118.274,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",MAIN,,
1585,201204262,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1155,12,77th Street,1213,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913,34,M,B,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,624.0,,5700 S  ST ANDREWS                   PL,33.9921,-118.3108,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1586,201804215,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1523,18,Southeast,1801,1,310,BURGLARY,1822 1607 1606 0358,47,F,B,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,310.0,,600 W  87TH                         ST,33.9587,-118.2847,,,,,
1587,201204259,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1300,12,77th Street,1265,1,520,VEHICLE - ATTEMPT STOLEN,1501 0342 1309,40,M,H,101.0,STREET,IC,Invest Cont,520.0,,1500 W  83RD                         ST,33.9637,-118.3025,,,,,
1588,201304181,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1600,13,Newton,1373,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,IC,Invest Cont,510.0,,52ND,33.9958,-118.2652,,,AVALON,,
1589,200104256,2020-01-04T00:00:00.000,2020-01-03T00:00:00.000,1600,1,Central,162,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,707.0,GARAGE/CARPORT,IC,Invest Cont,420.0,,700 S  GRAND                        AV,34.0473,-118.2566,,,,,
1590,201904132,2020-01-04T00:00:00.000,2020-01-04T00:00:00.000,1400,19,Mission,1985,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,IC,Invest Cont,510.0,,8500    TOBIAS                       AV,34.2248,-118.4516,,,,,
1591,200100510,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,955,1,Central,111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,35,M,O,108.0,PARKING LOT,IC,Invest Cont,930.0,,800 N  ALAMEDA                      ST,34.0615,-118.2412,511.0,VERBAL THREAT,,,
1592,200100514,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1355,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,41,M,A,503.0,HOTEL,AA,Adult Arrest,341.0,,800 S  OLIVE                        ST,34.0452,-118.2569,,,,,
1593,200104277,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,2130,1,Central,159,1,330,BURGLARY FROM VEHICLE,1307 1609 0344,25,M,O,101.0,STREET,IC,Invest Cont,330.0,,JESSE                        ST,34.0364,-118.2303,,,SANTA FE,,
1594,200104285,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,200,1,Central,164,2,624,BATTERY - SIMPLE ASSAULT,1601 0444 0416,26,M,H,203.0,OTHER BUSINESS,IC,Invest Cont,624.0,,600 S  SPRING                       ST,34.046,-118.2509,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1595,200104289,2020-01-05T00:00:00.000,2020-01-03T00:00:00.000,2315,1,Central,164,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,26,F,C,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,440.0,,600 S  SPRING                       ST,34.046,-118.2509,,,,,
1596,200104291,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,1900,1,Central,163,1,210,ROBBERY,0357 0444 0429 0344 1202 1822 0377 1602,64,M,H,102.0,SIDEWALK,IC,Invest Cont,210.0,,7TH,34.0449,-118.2528,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",SPRING                       ST,,
1597,200104292,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,1230,1,Central,101,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,26,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440.0,,900    NEW DEPOT                    ST,34.0652,-118.2451,,,,,
1598,200104293,2020-01-05T00:00:00.000,2020-01-03T00:00:00.000,2200,1,Central,105,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0377 1606 0321 0344,31,F,B,123.0,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,420.0,,400    CASANOVA                     ST,34.0713,-118.2291,,,,,
1599,200104300,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,1915,1,Central,152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,39,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,,600 S  GRAND                        AV,34.0488,-118.2553,,,,,
1600,200104303,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,1630,1,Central,166,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,IC,Invest Cont,510.0,,600    WALL                         ST,34.0435,-118.2471,,,,,
1601,200104310,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1010,1,Central,118,2,624,BATTERY - SIMPLE ASSAULT,0416 2004,28,M,H,102.0,SIDEWALK,IC,Invest Cont,624.0,,900 N  BROADWAY,34.064,-118.2375,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1602,200104313,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,1430,1,Central,156,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032 1202 1822 1218,75,M,B,102.0,SIDEWALK,IC,Invest Cont,341.0,,5TH                          ST,34.0446,-118.245,,,SAN JULIAN                   ST,,
1603,200104316,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,747,1,Central,162,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,32,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,930.0,,700 S  OLIVE                        ST,34.0467,-118.2556,511.0,VERBAL THREAT,,,
1604,200104320,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,2145,1,Central,164,1,330,BURGLARY FROM VEHICLE,0344 1609 1212 1822 0321,0,M,B,101.0,STREET,IC,Invest Cont,330.0,,6TH                          ST,34.0446,-118.249,,,LOS ANGELES,,
1605,200104323,2020-01-05T00:00:00.000,2020-01-03T00:00:00.000,1,1,Central,165,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,28,M,W,101.0,STREET,IC,Invest Cont,420.0,,LOS ANGELES                  ST,34.0433,-118.2504,,,6TH                          ST,,
1606,200104326,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1945,1,Central,182,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1414 0443 2004 0329,56,M,H,101.0,STREET,AA,Adult Arrest,740.0,,FLOWER,34.0401,-118.2668,,,PICO,,
1607,200104327,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,2130,1,Central,119,1,210,ROBBERY,2028 0913 0910 0344 0444 0416,0,X,X,834.0,LA UNION STATION (NOT LINE SPECIFIC),AA,Adult Arrest,210.0,,800 N  ALAMEDA                      ST,34.0563,-118.2374,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1608,200104328,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,2120,1,Central,153,1,350,"THEFT, PERSON",0355 0344 0400 1822 0377,35,F,W,102.0,SIDEWALK,IC,Invest Cont,350.0,,200 W  6TH                          ST,34.046,-118.2509,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1609,200104329,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1717,1,Central,134,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,1300 1822 1501 1606,28,F,H,102.0,SIDEWALK,IC,Invest Cont,421.0,,HILL,34.0503,-118.2504,,,3RD,,
1610,200104331,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,2330,1,Central,157,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,43,F,B,710.0,OTHER PREMISE,IC,Invest Cont,624.0,,500 S  SAN PEDRO                    ST,34.0442,-118.2439,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1611,200104339,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,2045,1,Central,192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1822,34,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,,1400 S  OLIVE                        ST,34.0366,-118.2643,,,,,
1612,200104420,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,100,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,36,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,,8TH,34.0452,-118.2569,,,OLIVE,,
1613,200104444,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,100,1,Central,185,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,23,M,W,108.0,PARKING LOT,IC,Invest Cont,330.0,,11TH                         ST,34.0387,-118.2576,,,MAIN                         ST,,
1614,200604186,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1900,6,Hollywood,636,2,649,DOCUMENT FORGERY / STOLEN FELONY,1402,0,X,X,101.0,STREET,AA,Adult Arrest,649.0,998.0,6500    YUCCA                        ST,34.1039,-118.3318,,,,,
1615,200404158,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,2200,4,Hollenbeck,421,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,IC,Invest Cont,510.0,,200 S  AVENUE 20,34.0726,-118.2201,,,,,
1616,200105788,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1945,1,Central,181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,37,M,W,741.0,STAPLES CENTER *,IC,Invest Cont,341.0,,1100 S  FIGUEROA                     ST,34.0431,-118.2692,,,,,
1617,200204212,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,2000,2,Rampart,271,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,44,M,H,101.0,STREET,IC,Invest Cont,420.0,,HOOVER,34.0559,-118.2842,,,JAMES M WOOD,,
1618,200204188,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,2030,2,Rampart,237,1,330,BURGLARY FROM VEHICLE,0344 0329 1602,37,M,H,101.0,STREET,IC,Invest Cont,330.0,,1600    COURT                        ST,34.0668,-118.2622,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,,,
1619,200204195,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1235,2,Rampart,265,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,AA,Adult Arrest,510.0,,2000 W  7TH                          ST,34.0559,-118.2756,,,,,
1620,200204196,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,30,2,Rampart,217,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,44,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,,1700    CLINTON                      ST,34.0721,-118.262,,,,,
1621,200204199,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,5,2,Rampart,249,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329,39,M,H,101.0,STREET,IC,Invest Cont,330.0,,400 S  BIXEL                        ST,34.0567,-118.2603,,,,,
1622,200204207,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1430,2,Rampart,257,1,761,BRANDISH WEAPON,0432 0334 0443 1817 0913,54,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,761.0,930.0,400    UNION                        DR,34.0592,-118.2674,205.0,KITCHEN KNIFE,,,
1623,200204208,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1315,2,Rampart,279,1,330,BURGLARY FROM VEHICLE,0344 0377 1609 1307 0329,23,F,H,101.0,STREET,IC,Invest Cont,330.0,,1500 W  OLYMPIC                      BL,34.0484,-118.2724,,,,,
1624,200204209,2020-01-05T00:00:00.000,2020-01-01T00:00:00.000,700,2,Rampart,219,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822,27,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440.0,,800 E  EDGEWARE                     RD,34.0689,-118.2532,,,,,
1625,200204210,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1900,2,Rampart,235,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0202,0,X,X,702.0,OFFICE BUILDING/OFFICE,IC,Invest Cont,740.0,,2300    BEVERLY                      BL,34.0678,-118.2728,,,,,
1626,200204211,2020-01-05T00:00:00.000,2020-01-02T00:00:00.000,1100,2,Rampart,249,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0603 0361 1822 2032,33,F,W,717.0,HEALTH SPA/GYM,IC,Invest Cont,440.0,,600    SAINT PAUL                   AV,34.0535,-118.2609,,,,,
1627,200204221,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1740,2,Rampart,212,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0445 0432 2001,20,M,X,102.0,SIDEWALK,IC,Invest Cont,230.0,,600 N  WESTMORELAND                 AV,34.0818,-118.288,302.0,BLUNT INSTRUMENT,,,
1628,200204222,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,519,2,Rampart,256,1,310,BURGLARY,1822 0344 1601 0216,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310.0,,600 S  UNION                        AV,34.0565,-118.2724,,,,,
1629,200204233,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1230,2,Rampart,292,1,480,BIKE - STOLEN,1251 0344,25,M,A,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,480.0,,1200 W  20TH                         ST,34.038,-118.2837,,,,,
1630,200300507,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,145,3,Southwest,337,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402 0346,24,F,H,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,440.0,,2900 S  HARVARD                      BL,34.0291,-118.3066,,,,,
1631,200300514,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1446,3,Southwest,378,2,946,OTHER MISCELLANEOUS CRIME,1259 0100 1402,16,M,B,710.0,OTHER PREMISE,IC,Invest Cont,946.0,,700    EXPOSITION                   BL,34.0181,-118.2846,,,,,
1632,200304281,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1630,3,Southwest,363,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,35,F,H,203.0,OTHER BUSINESS,IC,Invest Cont,440.0,,3600 W  MARTIN LUTHER KING JR        BL,34.011,-118.3351,,,,,
1633,200304246,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,750,3,Southwest,398,2,900,VIOLATION OF COURT ORDER,2038 0216 0561,58,F,H,104.0,DRIVEWAY,IC,Invest Cont,900.0,,600 W  42ND                         PL,34.0063,-118.2842,,,,,
1634,200304254,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,630,3,Southwest,328,1,210,ROBBERY,0416 0344 1202 0305 0429 0342,63,M,W,102.0,SIDEWALK,IC,Invest Cont,210.0,,FIGUEROA,34.0282,-118.276,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",ADAMS,,
1635,200304256,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,10,3,Southwest,397,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0400 1821,36,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626.0,,4000 S  NORMANDIE                    AV,34.0109,-118.3002,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1636,200304263,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1300,3,Southwest,375,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 2032,69,F,H,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),IC,Invest Cont,440.0,,3900 S  WESTERN                      AV,34.0146,-118.313,,,,,
1637,200304265,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,1015,3,Southwest,328,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032 0377,41,F,O,232.0,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",IC,Invest Cont,440.0,,2700 S  FIGUEROA                     ST,34.0268,-118.2808,,,,,
1638,200304266,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1920,3,Southwest,361,2,901,VIOLATION OF RESTRAINING ORDER,2000 1813 0329 2038,43,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,901.0,,4000    STEVELY                      AV,34.015,-118.3536,,,,,
1639,200304270,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,1640,3,Southwest,361,1,350,"THEFT, PERSON",0329 0344,52,F,H,102.0,SIDEWALK,IC,Invest Cont,350.0,,NICOLET                      AV,34.0146,-118.3512,,,PINAFORE                     ST,,
1640,200304273,2020-01-05T00:00:00.000,2020-01-05T00:00:00.000,620,3,Southwest,316,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0416 0446 0913 0329,18,F,B,102.0,SIDEWALK,IC,Invest Cont,236.0,,2200    LA SALLE                     AV,34.0364,-118.3058,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
1641,200304274,2020-01-05T00:00:00.000,2020-01-04T00:00:00.000,2030,3,Southwest,377,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311 1202,60,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,,1200    BROWNING                     BL,34.0121,-118.2968,,,,,
